overall,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,vote,style
4.0,True,"01 10, 2012",A17ND914NOQ1F2,9625990674,KUSOsan,"Have had this skin for almost 2 months and so far there are no signs of wear or tear which is good. Its sticky just enough to be grippy but not overly so. It protects the controller fairly well. Keeps it from getting dirty as fast especially if you have a white controller.

Overall it feels good and is comfortable even in long play periods. The only problem I have is there is annoying little piece up by the triggers on both sides. Its right in between the trigger and the bumper buttons and there is no tension on the piece so when you switch between the bumper and triggers it can sometimes flip up and your finger will catch it. Not really a deal breaker or a big deal or anything since I plan on cutting it off anyways. Plan on buy another so far after this one falls apart. Will update my review if it doesnt last long.",Great add on for your controller!,1326153600,,
5.0,True,"11 25, 2011",A2OOR605L7T9EB,9625990674,Bruce M. Wrona,nice skin for xbox controllers makes them more slip free and smooth softer too good deal and nice stuff try one,feels great,1322179200,,
5.0,True,"10 20, 2011",AMDHBGX8B1X4W,9625990674,Turk,"I love this thing, It makes your controller look badass and is so soft.  It has a great feel to it, way better than plastic, even if you have a Black controller this will improve it.  The seams on the side are my only tiny concern.  Add this with the Grip-it, blue analog covers and you have a great controller for cheap.  I can`t say enough about the comfort.  fantastic!","Man, This is so nice",1319068800,2,
5.0,True,"10 17, 2011",AXYW4YXK14QS5,9625990674,Super Cool,"Considering its just a rubber cover for the XBOX 360 controller, actually, it's made well...and the price--not bad at all. Excellent product for an excellent controller.",Well made...,1318809600,2,
4.0,False,"04 27, 2009",AXZO1G3Y0UUW5,9629971372,zak,This memory card works but i have to take it out and put it back in every time i turn the system off otherwise it won't read.,"Its okay, but",1240790400,3,
5.0,True,"04 8, 2009",ASLYR9GYSE5RL,9629971372,Nicholas Wood,"This is the best ps2 memory card I know of. It's perfect if you have games that take 1,000KB or more of your memory. If you need more memory, this is for you.",Much more convenient than the original,1239148800,2,
4.0,True,"04 17, 2017",A2FMBATWM1U4FM,9629971372,Jonathan M.,ok,Four Stars,1492387200,,
5.0,True,"02 26, 2017",A31L62YEFAEKLD,9629971372,4crzykds,Arrived earlier than expected and a great price!,Five Stars,1488067200,,
5.0,True,"12 8, 2016",A35O649SPP9KAP,9629971372,Amazon Customer,GREAT BUY & HIGHLY RECOMMENDED!,Five Stars,1481155200,,
5.0,True,"05 16, 2016",A2WVKPHGUWL6NS,9629971372,Rexy J.,great,Five Stars,1463356800,,
5.0,True,"04 8, 2016",AC128VSWKR6YQ,9629971372,Amazon Customer,Great price,Five Stars,1460073600,,
5.0,True,"03 28, 2016",A2IJP1WOK490OX,9629971372,B R.,Great and still working after several years!,Five Stars,1459123200,,
5.0,True,"03 11, 2016",A3JTF52MT6CERT,9629971372,James Forrest,"AWesome, works without issues thank you!!!",Five Stars,1457654400,,
4.0,True,"12 13, 2015",A180LDGAHK4CQK,9629971372,JP,I'm satisfied.,Four Stars,1449964800,,
5.0,True,"11 14, 2015",A2N3WB8SAWYZN0,9629971372,LyricalIndividual,"And at 128mb you will die before you run out of room on it.
I remember when the memory cards were 8mb and i only ever needed 6 of those for my whole PS2 collection.

Overall its great, and must have for anyone still stuck in he 90s",Give it up for retro-gaming!,1447459200,,
5.0,True,"10 26, 2015",ANXR9ITGY76OI,9629971372,Jon,I collect consoles and I love to play them as well,Great Buy,1445817600,,
5.0,True,"10 19, 2015",A3C3S4MT4HWKHP,9629971372,Katherine,ok,Five Stars,1445212800,,
5.0,True,"09 18, 2015",A1SX83GYM8OSV1,9629971372,ItzCameroon,It's great,Five Stars,1442534400,,
5.0,True,"09 10, 2015",A28CNCYMIFRWO8,9629971372,teardrop,LOVE IT,Five Stars,1441843200,,
5.0,True,"08 17, 2015",AY9CB9VNKOYXK,9629971372,Mondoman08,"So much more storage space, love it.",love it.,1439769600,,
5.0,True,"07 29, 2015",A3FLR2L0P8AA9B,9629971372,moises arevalo,excelent,Five Stars,1438128000,,
5.0,True,"07 23, 2015",A1V5V3C6GN6MTX,9629971372,albert price jr,Good,Five Stars,1437609600,,
5.0,True,"07 13, 2015",A38NKI25D95MXF,9629971372,LR,Works great.,Will buy again,1436745600,,
5.0,True,"06 11, 2015",A34X0LFNCAC9UL,9629971372,Vennessa H.,Works well have not had a problem with it and hopefully I never do lol,Works well,1433980800,,
5.0,True,"06 4, 2015",A2I5S36EGKUZHV,9629971372,Rebecca O.,"Great product, as advertised",Five Stars,1433376000,,
5.0,True,"05 30, 2015",A3DS91PCE3MTPO,9629971372,Steven p Nicholson,Works great,Five Stars,1432944000,,
5.0,True,"05 4, 2015",A262B8XPOW9XAR,9629971372,Bruce Rodesney,"works good
thanx",Five Stars,1430697600,,
5.0,True,"04 16, 2015",A124W211NSLQL1,9629971372,HiwayEC,This is a great buy. Works just as well as the Sony ones at a lot better price. Would definitely recommend and order again.,Works as good as original,1429142400,,
5.0,True,"04 15, 2015",A25LVJRFR42F0L,9629971372,Holly,works great and came sooner then i thought ! 2 thumbs up,Five Stars,1429056000,,
5.0,False,"04 12, 2015",A2V7GYJNXLNJQS,9629971372,Ella Veal,I like it,Five Stars,1428796800,,
4.0,True,"04 4, 2015",A2QXMUWTK9KINV,9629971372,TaDa!,"Seems to be working fine.  Although, not all the games we have are recognizing it, as an available memory card.  I have read, in other reviews, that if you copy saves over, from a smaller capacity memory card, those games will recognize it.  I don't have a smaller capacity card, with which to test this.","Good but, isn't recognized by all games",1428105600,,
5.0,True,"03 5, 2015",A3JSFNJO0PPUN9,9629971372,James David Collins,"Massive memory , 50 save spots on Final Fantasy 12 .","Massive memory, 50 save spots on Final Fantasy 12 ...",1425513600,,
5.0,True,"03 1, 2015",A1G9F7IMM8ZS13,9629971372,A.M.W.,A+,Five Stars,1425168000,,
5.0,True,"02 28, 2015",ADYCV0QK4W76W,9629971372,badt,Great price,Five Stars,1425081600,,
5.0,True,"02 17, 2015",A3UIW0JQSQ59GB,9629971372,GearyP,works as expected.  Good quality product,Good product,1424131200,,
5.0,True,"02 17, 2015",A3DXMF8BK2AJUV,9629971372,Michael Ross,"You read right. 128MB. Not the normal 8MB almost all the cards were.
You get 128MB and you also get to use them, (PS2 slim is what I used). The memory card manager reads you have ~126,345KB free.","Works great, fit all your games on one card!",1424131200,,
5.0,True,"02 16, 2015",AX0NP95STC5IX,9629971372,csisson,Does what it's supposed to and worked great for my kids.,Five Stars,1424044800,,
5.0,True,"02 12, 2015",A3MLF03ZP4RCDE,9629971372,Susan Walker,Thank u,Five Stars,1423699200,,
4.0,True,"01 25, 2015",A2UKS3ZLKMXAZD,9629971372,XaviersFinest,"This thing is really great for those with a big PS2 collection. The only issue I came across was that Kingdom Hearts games would not recognize them, thus being unable to save. It was unfortunate, but I already had an official one from SONY to handle those rare exceptions. Would certainly recommend.",This thing is really great for those with a big PS2 collection,1422144000,,
5.0,True,"01 7, 2015",A3AK5217KYEOBT,9629971372,ARK9PNUMA,Loaded most of my old PS2 saves on it due to several of my memory cards are missing files from 9 years ago. I am satisfied.,I am satisfied.,1420588800,,
5.0,True,"12 24, 2014",AKUT3YW6BGP5Q,9629971372,james m mccord,So much data space! Works just fine.,Works just fine.,1419379200,,
5.0,True,"12 18, 2014",A1GBVT4JOZ23YX,9629971372,Swiss army knife,This is a lot of memory for my old PS2 so I can store huge amounts of game data. All for a very low price! Perfect.,Great Value,1418860800,,
5.0,True,"12 10, 2014",A3EOMSFQLUY7NV,9629971372,erin,everything worked as promised. seemed to hold more data than stated. great,great,1418169600,,
5.0,True,"12 10, 2014",A35NR28U2MAVWS,9629971372,Pedro,Pretty good,Five Stars,1418169600,,
5.0,True,"12 3, 2014",A1TOIES4PSO71G,9629971372,Philip Molinar,as advertised!,Five Stars,1417564800,,
5.0,True,"12 1, 2014",AQ8U65RFT846M,9629971372,Eddie L.,I bought this as a gift for a family member and he has not had anything negative to say about the product. He seems to be quite satisfied.,Good.,1417392000,,
5.0,True,"11 24, 2014",A2LWR9YAQMVF9F,9629971372,Crafty Slacker,Good value and work perfectly in my PS2. I actually bought two of these last year and they are still working great! Fast shipping from seller Mahmaou!,"Good value, cards work perfectly!",1416787200,,
5.0,True,"11 17, 2014",A2AWITS66IW8UN,9629971372,soprano30,Works great a lot of space for data! Came fast in the mail! :-),Great!,1416182400,,
5.0,True,"11 2, 2014",A1FVLTP9WRG0ZV,9629971372,James,Best price and won't need any other memory card again.,Ecellent,1414886400,,
5.0,True,"10 29, 2014",AR7B3SPYXSKMB,9629971372,schooldaze4,Reliable device,Five Stars,1414540800,,
5.0,True,"10 22, 2014",A130EVWVXKYX6N,9629971372,Jose Antonio Estrella Villaseor,great item,Five Stars,1413936000,,
4.0,True,"10 15, 2014",A39LLAAZ9FETBI,9629971372,Judith Gallion,works good,Four Stars,1413331200,,
5.0,True,"09 22, 2014",AU486P8PY132N,9629971372,J. Melgar,"It works great, I transferred all of my info from my other memory card and it works great. the only thing I noticed one of the screws was a little loose but I read that's how it supposed to be, if they are too tight card may not work. I'm a happy camper now because I can play all my old PS 2 games again.",works great if you need a new memory card get it!!,1411344000,,
5.0,False,"09 22, 2014",A16AY9GMJ7FE1Z,9629971372,Amazon Customer,Works,Five Stars,1411344000,,
5.0,True,"09 13, 2014",A1LMH3D9Z7IW1H,9629971372,Amazon User,"All I can say is... wow. This works perfect. It is more space than I will ever need, but the more the merrier. Right? Oh, one more thing: A lot of people said that it takes a long time to save, and boy they were right! Plus, I unscrewed the screws slightly so the little PCB chip moves around a bit. It came in an OK time, but gosh it was worth it.","Definitely buy, but the save times are very slow.",1410566400,,
5.0,True,"09 8, 2014",A286PVPBU436WK,9629971372,Juan Rodriguez,it`s good.,I love it,1410134400,,
5.0,True,"08 25, 2014",A2XIXXGK9VLA6T,9629971372,Renee Goff,"It was delivered as described - new item, never opened.",Five Stars,1408924800,,
5.0,True,"08 14, 2014",A3L46SFBKBM522,9629971372,Alejandro G.,Excelent product!!!,Five Stars,1407974400,,
4.0,False,"07 19, 2014",A2ABHIDTI5Y9H7,9629971372,Jay P.,"haven't used yet, but PS2 is reading it as the full 128 mb storage",Four Stars,1405728000,,
4.0,True,"07 18, 2014",A1JD6VLY8TNKI7,9629971372,Jonathan Sechler,better presentation and would be a five,Four Stars,1405641600,,
5.0,True,"07 8, 2014",A1QYWL5TUN4Z0Q,9629971372,Harvin guevara garcia,IS GOOD,Five Stars,1404777600,,
5.0,True,"07 3, 2014",A3EUN0LI78Y6V6,9629971372,Patrick,Great.,Five Stars,1404345600,,
5.0,True,"06 6, 2014",AOJ2Q7GF401IA,9629971372,Jbluenull,"My daughter found the old PS2 game system for her youngest son and didn't have but one or two games, no memory cards, etc. We found what we needed on Amazon!",GLAD TO FIND THIS!,1402012800,,
4.0,True,"06 5, 2014",A1MQD3NLTOFDB3,9629971372,Nichole matijak,Good memory card it has a good saving memory I like it after I lost my other one I got this one buy it I recommened it,Overall good memory card,1401926400,,
5.0,True,"06 4, 2014",A3LLTAMD6RXYCX,9629971372,George Berthiaume,"These cards allow me to save a large amount of downloads, and they are compatable with my PS2, they rock!",I highly recomend this product,1401840000,,
5.0,True,"05 26, 2014",A3FQ3286SKI16U,9629971372,Lady of Nokomis,I am glad that I had purchase this 128MB memory card. This was recommended to me here in Amazon by another gamer.,PS2 Memory Card 128MB for Playstation 2,1401062400,,
5.0,True,"05 12, 2014",A2FU0YNW5FO4TI,9629971372,Yvonne C.,daughter still loves her play station needed a bigger memory card for a couple games so searched amazon and found this to order for her.,great buy,1399852800,,
5.0,True,"05 8, 2014",A1WQYD5CATVJ8D,9629971372,Corey,Cam quick and works like new.  It is everything that I expected it to be and plus it was cheap.,Great Product,1399507200,,
5.0,True,"04 28, 2014",A3EU27OPSQJ5T4,9629971372,Brett Whitney,"This memory card has unleashed my games from start, but don't stop gameplay to awe yeah, now let's get some lunch... Save! gameplay. Holds up well, saves and loads reliably, does what a card should do: Save my Games!!",Using it like its the end of time,1398643200,,
5.0,True,"03 26, 2014",A2W2S6HV9UJ5L6,9629971372,John P Wilkerson,this has huge memory for ps2 and is great because it can save a more than a few games and save you some money,Huge memory,1395792000,,
5.0,True,"03 6, 2014",A2IVFJ4BPA2MAS,9629971372,Tyler Aamodt,Works great!!! I suggest this to anyone! It's a great price as well! Overall I'm very happy with the purchase!!,Works great!!,1394064000,,
5.0,True,"01 13, 2014",A1GWUSPAM0RJVB,9629971372,D. Nguyen,"I have the old, fat PS2. So far no problems at all with this memory card. Very inexpensive, lots of storage space! Great buy!",Works for my Fat PS2,1389571200,,
5.0,True,"01 4, 2014",AZF8ZZN07EDY2,9629971372,Henry W. Partridge,Not much you can say on this item except it does what it is suppose to do. It stores a lot of games,????????,1388793600,,
4.0,True,"01 3, 2014",A1Y1FW7CVU8ROM,9629971372,Matthew Hawk,I want to play ps2 games and i needed a memory card and this fits the bill just fine. It can hold many games so if you buy it you will be able to own more games,Needed one,1388707200,,
5.0,True,"12 26, 2013",ACDJYQK8NC88R,9629971372,Brenda,These are great little cards to store games on.it save you money also. they come in very handy. Thank you Brenda ONeal,Memory card,1388016000,,
4.0,True,"12 4, 2013",A2GUP3FTLCYYT2,9629971372,kristinakay,"Does what it's supposed to do.
Nice to have the extra memory. Now I can store more game saves.
Satisfied with purchase.",PS2 Memory Card 128MB for Playstation 2,1386115200,,
5.0,True,"11 29, 2013",A32MR046NZOMZT,9629971372,Austin,"Why was every memory card 8 mb when i was young, i could have just owned 1 of these and not had to budget my memory space. i cant even fill a tenth of this thing, awesome","awesome, totally worth it",1385683200,,
4.0,True,"11 16, 2013",A2JDP0AH6SDGUU,9629971372,Will Hughes,"<div id=""video-block-R1HCQT1UO5OGTM"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/E1MoyZzlJHS.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/71nlP7pB6mS.png"" class=""video-slate-img-url"">&nbsp;(Watch video for demonstration on how the card works and shows how to the card reads on the PS2)

One of the most amazing things is when you can, not only find new ways to bring your old consoles back to life, but go even further and find ways to STILL find more uses. Ever since the Playstation and beyond, companies have put out tons of items that help give new life to an old thing.

This memory card is no exception to that rule. I have had this memory card for well over a year now and it has not failed me yet. (This is not to imply that it will last forever, you should always make backups just in case) Imagine now being able to save ALL your game saves on 1 memory card instead of having to look for spare room on an existing 8-meg memory card. Being able to hold 16x more than what a normal memory card can is pretty remarkable. Although there have been a few odd moments that make this a bit of a... well... not so much a problem as it's more of an annoyance.

(One example of annoyance you will have to deal with is that certain games will ""READ"" your card first before it will ""WRITE"" to the card to save. This can take as much as 2-3 minutes before it will finally do anything, and that can cause a problem if either you are not a patient person or you suddenly get a power spike to hit while in the middle of a save where it READS before it WRITES.)

Other than that, the card works on just about every game I have played (Numbering 150+ games on my PS2)

Overall, all I can say is I have not had that much of a problem with it and it has kept working for well over 1 year now. Of course, like any electronic device, experiences will vary from person to person. But for the price, you can't beat it.",A memory card that surpasses the original...,1384560000,,
5.0,True,"10 16, 2013",A8JNGNFJYGPXS,9629971372,Ann Baker,So far so good it saves the games that need to be saved.  I would buy another one if I had to.,PS2 Memory Card,1381881600,,
5.0,True,"10 16, 2013",A215S4D194OLI9,9629971372,Michael,PS2 Memory Card 128MB for Playstation 2.  This will help me keep from having so many memory cards nothing more annoying than having to get another card cause you filled yours up if there was only a way to have save states on this system:),PS2 Memory Card 128MB for Playstation 2,1381881600,,
5.0,True,"09 16, 2013",A76TLVWJ8HSPT,9629971372,dog 12,Love it very nice Love it love it love it there is not much more I can say but I love it,love it,1379289600,,
5.0,True,"09 1, 2013",A1Y3UBZI6YH9EU,9629971372,Isaac Knox,"I've always hated dealing with running out of room on my 8 MB and 32 MB PS2 memory cards, but now that I have this bad boy I never run out of space. Fantastic product for such a cheap price. Wish I could have found this years ago.",Plenty of Space,1377993600,,
5.0,True,"08 15, 2013",A39KHRA2U3S5QU,9629971372,C. White,the Play Station 2 memory card works quite well and I can store as many games as 16 8MB cards,PS 2 memory card,1376524800,,
5.0,True,"07 11, 2013",AH06UFDUCQLUI,9629971372,robert dressler,on time and in good  work good  and i will like more  to see like that  think you  very much,on time and in good  work good  and i will like more  to see like that  think you  very much,1373500800,,
5.0,True,"06 25, 2013",A22NCACH3ATIIQ,9629971372,anime freak,Work great and plenty on memorey. I love it. This is great if you play slot of games. You won't run out of memory.,great,1372118400,,
5.0,True,"06 19, 2013",A3LN82ZRNYLNY7,9629971372,brandon,it is very I am enjoying it very much and I really love it thanks a whole lot appreciate it,:),1371600000,,
5.0,True,"05 29, 2013",AXZX53YBR0MI3,9629971372,zack,"Quite simply, if you have a ps2 you need a memory card. The 128MB card should do the trick for any gamer.",Must have,1369785600,,
5.0,True,"04 25, 2013",A23LP9CTPKUDH5,9629971372,Marcus Smith,"The PS2 memory cards are essential for a PlayStation 2 system.... particularly for the `Slim' models, which do not allow for the use of a hard drive and with 128 MB... more than enough storage space for games (and saves from starting over each time when playing games).  Great deal.",my first PS2 memory cards,1366848000,,
5.0,True,"03 20, 2013",A26SY07QLE4LQE,9629971372,Cody,Got it and it works perfectly. Did not have to loosen to screws on the back to make it work. A great buy.,Works perfectly,1363737600,,
5.0,True,"03 8, 2013",A3SO0RHPB7Q0KC,9629971372,John Besner,"For a third party memory card, it does the trick for saving your favorite games. Instead of having piles of memory cards, you can now have just 1 to save a lot more save files. I'd recommend this to anyone that has had to either delete old save files or get another memory card to save more of their games.",Awesome solution to having too many games,1362700800,,
5.0,True,"03 4, 2013",A1SZBQZC4UUMSU,9629971372,Debra,Great to deal with.  Got exactly what we ordered and in a very timely fashion.  Trustworthy vendor for ordering product.,Great Service,1362355200,,
5.0,True,"02 25, 2013",A1YC9RVAWAAUAN,9629971372,Kimmy-Sue,It came on time in great shape!! It is so new! Looks better then I tought it would!! LOL! I can not wait to try it out!!,It came on time in great shape!!,1361750400,,
5.0,True,"02 19, 2013",A2RF5B5H74JLPE,9629971372,jon,"I chose this product rating because it had great shipping, great product discription. I would recommed this product to any one who plays PS2 games.",great product,1361232000,,
5.0,True,"01 22, 2013",A1RS65OQGY1JK7,9629971372,Marco,"Very good article, very good deal nice, very good price, item arrived on time, the packaging had an acceptable size",nice,1358812800,,
4.0,False,"01 21, 2013",ANAYSRE3LX8GZ,9629971372,Micheal Hunt,"How can you go wrong with obtaining a 128 Megabyte memory card for the PS2! It's exactly the same size, there is no size fitting issue, it looks and acts like a regular memory card, and has fifteen times more space for saved games then the regular 8 Meg cards!

The only problems I have encountered with this card is that some games it is not compatible with, and the game will say there is no Memory Card in the PS2, or sometimes it doesn't read it at first, so try again and it should. I've never had to try more than 2 or 3 times.

The only games I have found it wouldn't work with was ""Stuntman Ignition"" (possibly ""Stuntman"" too, but I have not played it) and I can't recall the other one, but currently I own around 100 PS2 games, and it's been fine with all but 2 or 3 games! But don't complain, just use your existing 8 meg card, or buy one from a pawn shop or somewhere for a dollar or two, and use that for those games, and the rest on this awesome card!

Known games this doesn't work with that I have found.
- Stuntman Ignition.
- Guitar Hero games. (works fine with Rock Band tho)
- Action Replay Max (cheat device can't save data to it)",Works on 95% of games!,1358726400,,
5.0,True,"01 7, 2013",A2MH4FGMY8X899,9629971372,Junh2,This item is just great. it has 128m storage. You don't have to worry about memory storage for ps2 anymore. you can play hundreds of games without deleting saving file.,Great product,1357516800,,
5.0,True,"12 25, 2012",A211X9NEHYT65Y,9629971372,RICHARD&#039;s,"If you want a lot of memory , then this is for you.  Best quality , best priced memory card on the Internet",Memory,1356393600,,
5.0,True,"11 12, 2012",A32Y3K1IR8VRPA,9629971372,Norris G.,"Hello, i must say this card does just what it says, it holds all of my PS2 game saves, i have always wanted to use one ""Memory Card"" for all saves. The card holds 128MB and after saving all my saves i have 110MB left and i have well over 60 Playstation 2 games, it`s like having a ""PC Hard Drive"" in the PS2 and now that i know the card really do work, i will be ordering quite a few more before they are no longer in stock. It does not take much to make me happy and this makes me very happy, now i must get more PS2 games, i have 2 PS2, 2 PS3, 1 PSP, 1 Tablet, 2 Laptops and 2 Desktops all for gaming, i love gaming and proud to say i am a 56 year old gamer, started in 1992, love it.
  Thanks<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/PS2-Memory-Card-128MB-for-Playstation-2/dp/9629971372/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">PS2 Memory Card 128MB for Playstation 2</a>",PS2 Memory Card 128MB for Playstation 2,1352678400,,
5.0,True,"09 17, 2012",AW50FUDN8C8OH,9629971372,Kseagle,"I saw the ad and I was in need of new PS2 memory cards, so I ordered them.  The ad was accurate.  The company shipped them ot promptly.  They arrived in my mailbox in excellent condition.  I would buy from this company again.  Fantastic job!!!",Sony PS2 Memory Cards,1347840000,,
3.0,True,"02 23, 2015",A1YJWEXHQBWK2B,0700026657,Vincent G. Mezera,ok game.,Three Stars,1424649600,,
2.0,True,"02 20, 2015",A2204E1TH211HT,0700026657,Grandma KR,"found the game a bit too complicated, not what I expected after having played 1602, 1503, and 1701",Two Stars,1424390400,,
1.0,False,"08 2, 2014",A1KXJ1ELZIU05C,0700026657,Creation27,"I'm an avid gamer, but Anno 2070 is an INSULT to gaming.  It is so buggy and half-finished that the first campaign doesn't even work properly and the DRM is INCREDIBLY frustrating to deal with.

Once you manage to work your way past the massive amounts of bugs and get through the DRM, HOURS later you finally figure out that the game has no real tutorial, so you stuck just clicking around randomly.

Sad, sad, sad, example of a game that could have been great but FTW.",Avoid This Game - Filled with Bugs,1406937600,,
1.0,False,"05 15, 2012",A1LMJ9W8UX1H5B,0700026657,Rob NY,"I've bought and played ALL of the ANNO games since 1602, and spent more hours than I can even count building massive empires with extremely complex trade routes. I was thrilled to see another installment released, but I absolutely will NOT pay for something that limits my hardware changes and installs.

Wake up UBI, look at all of your other software title reviews, both here on Amazon and on gaming sites. People are not as stupid as you think, and will simply find a different game to fill their time with and throw their money at if their freedoms are inhibited by your software.

By adding DRM you've actually promoted the use of piracy instead of reduced it, because those that really do want to play it will find a way.",SAY NO TO DRM!!,1337040000,28,
1.0,True,"05 18, 2013",A1NQ759X8WPIVV,0700026398,Lynn,"I'm sure I would love the game, if I could play it, I have loved all the Hitman games thus far.  The one star is due to steam.  Steam is absolutely beyond annoying and they do NOT help you if you ask them.  I found out after I purchased it that windows xp does not support direct X-10.  I do have a high end video card but it doesn't make a difference.  I recommend that no one purchase any games or other items that require steam.  Perhaps then they will fix all the problems or go out of business (my favorite option).  I am very good with computers (built mine) so that is not the problem.  As always it's a steam issue.",Requires steam,1368835200,,
1.0,False,"01 10, 2013",APFCXOFX0KUPN,0700026398,--,"Update June 2013:
Deeply disappointed at the lack of a non-linear open-world environment. But its the restrictive QTE gameplay and final-kill cut-scenes that kill the game for me. I loath enforced QTE. When a mission goes awry and you're trying to escape a hail of bullets, if you happen to brush past an assailant you can't escape QTE mode. Meanwhile you're being shot at from all sides. It just lacks the sense of freedom that Blood Money had, and it takes you out of the whole gaming experience placing you instead into a second-rate interactive movie.

As a loyal fan of the Hitman franchise, I waited years for this. I would have loved if they had added driving into the game in order to rival Saints Row or the GTA series etc. What they did add took away from the game. For instance they should have kept the semi-open-worlds of Blood Money and build-on those beautiful sets, maps and locations.

I would have loved if Hitman had been as open as Skyrim. Overall Dishonored's gameplay is a far superior hitman style gaming experience. But I wish they had had Bioshock Infinite's breathtaking visuals in that particular game.

==================================================================

Wow after all these years waiting-- this is it.....?!!!

I am still a huge fan of Blood Money. The fact that you can now play it again online for free is a huge plus! To play, all you have to do is watch a 30-second ad on mute and you get sufficient time to play a level. Who can complain about that? But this, what took them so long to produce a bad cousin of Metal Gear Solid?!

Intuition....? STOP! STOP! STOP Please let me use my own intuition! And what is it with the game constantly talking to you like you're an idiot? All this serves to do is kill any the sense of atmosphere, tension and suspense!

You want to know how bad this game is....? They use cut scenes for the final kill, thus killing any sense of pay off! And you can't even skip through the intro level! Hello? This was a cult game... So lots of people know how to play it and don't need this hand holding to be mandatory!

The graphics too are little improvement over Blood Money, and are definitely a let down compared to the current generation of games. There is less of a non-linear feel about this version also. Now you're not quite tied to a string as you walk through levels, but its sub par compared with the freedom of its predecessor IMHO.

Such a shame, such a shame. But good for me as I embark on a career in Video Game Design. It gives me confidence that I might have something better to bring to the table.",Skip!,1357776000,,
2.0,True,"09 27, 2013",A2IPY9UTB8JEU5,0700026398,Emelinda Willis,This game requires that you open an online account to play the game. A constant online source is required. Gave the game away.,Requires constant online access. This is only the loader.,1380240000,,
1.0,True,"06 30, 2014",A248LSBZT4P38V,0700099867,Joseph R. Kennedy,"I bought this and the key didn't work.  It was a gift, and the recipient wasn't able to solve the problem.  It might have been a good game, but I never found out because the key failed.","It might have been a good game, but I never found out because the ...",1404086400,,
1.0,True,"06 28, 2014",A1INA0F5CWW3J4,0700099867,Amazon Shopper,"1st shipment received a book instead of the game.
2nd shipment got a FAKE one. Game arrived with a wrong key inside on sealed box. I got in contact with codemasters and send them pictures of the DVD and the content. They said nothing they can do its a fake DVD.

Returned it good bye.!",Wrong key,1403913600,,
2.0,True,"02 8, 2014",A2JLT2WY0F2HVI,0700099867,D. Sweetapple,"I still haven't figured this one out. Did everything as instructed but the game never installed. Strange. Since I don't like to rate on something I couldn't get to work, I'll just say that I didn't like it because I couldn't get it to work :P For those that did manage to get it installed, I'm sure it's a great game. I had the first Dirt and it was a scream! Too bad this one bombed. Maybe a bad disc...",Couldn't get this one to work,1391817600,,
1.0,True,"11 23, 2013",A29KT7UP7DLM1J,0700099867,Peter Ostman,"DiRT 2 was like this.  I'm becoming more & more suspicious of games like this that require a continuous open Internet to play.  It just seems like bait set out for some young naive prey to fall for.  Does anyone honestly believe that personal information is collected for no particular reason?  I don't care what they say publicly.  Any assurances of privacy protection are quite hollow without close oversight, and nobody's looking.  It's quite a different thing to knowingly step out into a multiplayer server where you know you're being tracked, but this type of continuous spying is something more.  That aside, this carrot on a stick has more problems than just security.

CONS - Requires open Internet (Windows Live) to play.  Annoying interface.  Continuous reminders to upload and download things you already selected not to do.  Most settings don't keep between sessions.  Setting up a race takes way too long.  Irritating ""music"" you can't turn off (it keeps coming back).  Takes too long to unlock things.  Entire career mode is pointless when the game setup is so irritating I just wanted out.  Video stuttering (possibly my equipment).

PROS - Eye candy.  Plenty of game modes.  Enough tracks to get going.  Fairly good variety of cars.  Scaled difficulty levels from casual to advanced.

I think this franchise, like many others, continues soley for the purpose of farming user information; where it seems the real money is.  If I can't turn it off, and some else controls the on-off switch, that's a problem.  Sometimes it might be worth it, but not here.  I found some entertainment value, but very briefly.  Anyway,  just my opinion...",The first one was much better.,1385164800,7,
1.0,True,"07 15, 2013",A14L115LBOB0A5,0700099867,MotoRider42HC,"This game was a rip-off.  It has less terrain, less tracks, and less features than DiRT 2.  The graphics are about the same.  Not worth the money, at all.",Not as good as DiRT 2,1373846400,,
2.0,True,"07 11, 2013",A1BHRNLW2L8KLD,0700099867,T. Hanson,"The game itself is great, but Games for Windows Live is such a frustrating piece of garbage.  I wish it would just die and stop bringing down my PC gaming experience.",Games for Windows Live...,1373500800,,
3.0,True,"06 28, 2013",A2VYL51WQXC5KK,0700099867,Old-Lumens,"This really is a step up from Dirt 2. Better graphics, cars seem a little more responsive. Overall it was worth almost the money, but of course, I wait till the games are ""old hat"" and buy them cheaper.

The really bad thing is having to buy tracks and cars. Nope, I'm never going to do that and I think it is a crappy deal, but that's life. If I had known about the lack of tracks and cars, I would have passed. There's no real reason to finish the game, as it's just more of the same without paying a bunch of money to get all the ""extras"", that should have been in the game to begin with.","Better than Dirt 2, Except for....",1372377600,,
1.0,True,"04 30, 2013",AFS6WERAP409A,0700099867,Lisa the Amazing,Crashed in Vista.  Codemasters told me they don't support it in Windows 8.  Couldn't get it to work even after looking on the Internet.,Don't waste your money,1367280000,,
